date,tweet
2021-07-25 00:11:14,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:10:16,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:08:43,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:08:28,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:06:35,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:06:18,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:06:14,b'#Claro son el peor servicio que puede existir y ni se diga de los asesores en atenci\xc3\xb3n al cliente son unos lentos que nunca saben nada'
2021-07-25 00:06:05,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:02:19,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-24 23:59:04,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-24 23:58:45,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-24 23:56:35,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
