date,tweet
2021-07-24 10:52:42,b'Que grande eres @RichardCarapazM  hoy no estuvo el #Movistar para ayudar a los seguidores https://t.co/YLuVOYozh4'

2021-07-24 10:13:46,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:51:51,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:50:19,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:35:28,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:33:11,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:27:08,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:18:53,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 09:09:42,b'@2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de\xe2\x80\xa6 https://t.co/UDBnihbB88'

2021-07-24 08:39:53,b'El anuncio que te comes cada vez que escoges un canal en la app de #Movistar te lo descuentan de la factura?'

2021-07-24 08:16:03,b'RT @SCivil_europea: \xe2\x80\x98La Unidad\xe2\x80\x99 Temporada 2: todo lo que sabemos del rodaje y de su fecha de estreno https://t.co/s2b5XR7CGx #CineySeries #\xe2\x80\xa6'

2021-07-24 08:15:03,b'\xe2\x80\x98La Unidad\xe2\x80\x99 Temporada 2: todo lo que sabemos del rodaje y de su fecha de estreno https://t.co/s2b5XR7CGx #CineySeries #Movistar #Series'

2021-07-24 07:39:42,"b'#TokyoRTVE24J #Movistar vaya desastre seguir las olimpiadas desde Movistar +, se cae cada cinco minutos oblig\xc3\xa1ndome\xe2\x80\xa6 https://t.co/C1peAaibF8'"

2021-07-24 05:37:51,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-24 04:43:29,"b'Marco de la mirilla para la puerta. R\xc3\xa9plica artesanal para tu entrada, como la que ten\xc3\xadan en la serie Monica y Rach\xe2\x80\xa6 https://t.co/825hWVRpBz'"

2021-07-24 04:43:01,b'RT @freddypatri: Los simp\xc3\xa1ticos de @MovistarChile o @AyudaMovistarCL me llaman de ese n\xc3\xbamero actualizando mi plan de $11.190 con un gran de\xe2\x80\xa6'

2021-07-24 03:12:39,b'Para consultas de saldo en #MovistarTV:\n1\xe2\x83\xa3 Llamar al 0800-800-1414 (Gratuito)\n2\xe2\x83\xa3 Marque las opciones 2 - 1 - 2\n3\xe2\x83\xa3 I\xe2\x80\xa6 https://t.co/ss0oMhVD0l'

